fibre_length,basalt_fiber_content,curaua_fiber_content,tensile_strength
8,50,50,29.02
8,100,0,28.82
12,0,100,36.36
12,25,75,21.15
12,100,0,21.42
8,25,75,27.98
4,25,75,27.7
8,75,25,39.14
4,25,75,32.11
12,0,100,33.67
8,0,100,28.8
4,75,25,23.01
4,50,50,22.89
8,75,25,39.14
8,25,75,26.75
4,25,75,32.67
12,50,50,25.65
8,75,25,32.6
8,100,0,21.03
8,100,0,21.03
8,0,100,20.91
8,50,50,29.52
12,0,100,36.83
8,50,50,29.02
12,0,100,36.83
4,0,100,10.54
8,50,50,25.39
4,100,0,30.36
12,100,0,27.87
4,50,50,23.71
8,25,75,27.98
4,0,100,13.0
12,0,100,36.83
12,50,50,25.65
12,50,50,21.26
12,50,50,21.26
12,0,100,36.36
8,100,0,35.52
8,50,50,29.52
4,100,0,50.38
8,0,100,28.8
4,25,75,29.97
4,50,50,23.71
4,100,0,30.36
4,75,25,27.22
12,0,100,36.36
8,50,50,38.65
4,25,75,29.97
4,0,100,17.2
12,25,75,21.15
8,100,0,21.03
12,50,50,21.26
8,50,50,25.39
8,100,0,24.0
12,100,0,31.49
8,50,50,29.52
4,50,50,23.71
4,25,75,32.67
12,25,75,21.15
8,50,50,31.1
4,100,0,50.38
12,75,25,24.43
12,0,100,33.67
4,0,100,13.0
8,100,0,28.82
8,25,75,24.14
8,25,75,26.75
4,0,100,10.54
4,75,25,25.24
8,0,100,28.8
8,25,75,21.57
12,100,0,31.49
4,75,25,23.01
8,25,75,26.75
8,50,50,38.65
8,25,75,24.14
8,100,0,41.84
12,100,0,27.87
8,100,0,41.84
8,50,50,31.1
4,25,75,27.7
12,75,25,24.43
4,25,75,27.7
8,100,0,24.0
4,0,100,17.2
4,75,25,23.01
4,100,0,50.38
12,50,50,25.65
12,0,100,34.4
8,75,25,39.14
12,0,100,33.67
12,100,0,21.42
8,75,25,31.3
8,75,25,31.3
4,50,50,26.87
12,0,100,34.4
4,50,50,26.87
8,100,0,28.82
8,75,25,32.6
8,25,75,21.57
4,75,25,27.22
4,100,0,30.36
4,50,50,22.89
8,0,100,20.91
4,50,50,22.89
4,75,25,25.24
4,25,75,32.67
8,100,0,35.52
8,50,50,31.1
8,50,50,25.39
4,0,100,10.54
8,75,25,31.3
12,100,0,27.87
12,100,0,31.49
4,0,100,17.2
8,100,0,41.84
12,0,100,34.4
8,50,50,38.65
8,25,75,24.14
12,75,25,24.43
8,50,50,29.02
4,25,75,32.11
4,75,25,27.22
8,100,0,24.0
8,25,75,21.57
8,0,100,20.91
4,25,75,29.97
8,100,0,35.52
8,75,25,32.6
4,0,100,13.0
12,100,0,21.42
4,75,25,25.24
4,50,50,26.87
8,25,75,27.98
4,25,75,32.11
