Tensile Strength Predicted Values,Models,Index
80.07189015239544,Linear Reg,0
77.13385474393026,Linear Reg,1
78.24064405525465,Linear Reg,2
76.80110875558628,Linear Reg,3
80.20635703676365,Linear Reg,4
114.44814592022381,Linear Reg,5
117.41109395453817,Linear Reg,6
115.77189358301023,Linear Reg,7
117.09589893431105,Linear Reg,8
118.15886654222784,Linear Reg,9
82.08311261508707,Ridge Reg,0
79.76612558146458,Ridge Reg,1
78.42747803890784,Ridge Reg,2
80.29289223927941,Ridge Reg,3
79.05692627812138,Ridge Reg,4
117.98672647419978,Ridge Reg,5
116.26520576782659,Ridge Reg,6
111.20388360302574,Ridge Reg,7
117.53735108732096,Ridge Reg,8
115.79377498355218,Ridge Reg,9
82.3381112358797,Lasso Reg,0
79.57691318507729,Lasso Reg,1
77.9802203991785,Lasso Reg,2
80.18917883982043,Lasso Reg,3
78.74855376983656,Lasso Reg,4
118.56983174597393,Lasso Reg,5
116.60097748366263,Lasso Reg,6
110.6583990699792,Lasso Reg,7
118.0776181803961,Lasso Reg,8
116.02472745566908,Lasso Reg,9
84.47559969499099,ElasticNet Reg,0
82.34347788949563,ElasticNet Reg,1
81.11055528023093,ElasticNet Reg,2
82.8162527246272,ElasticNet Reg,3
81.70384134784703,ElasticNet Reg,4
115.14957476925825,ElasticNet Reg,5
113.62927922099199,ElasticNet Reg,6
109.04058229177373,ElasticNet Reg,7
114.76950088219168,ElasticNet Reg,8
113.1843146702799,ElasticNet Reg,9
79.79999999999995,Poly Reg - Degree 4,0
77.46363478217594,Poly Reg - Degree 4,1
78.39999999999998,Poly Reg - Degree 4,2
77.28999999999999,Poly Reg - Degree 4,3
79.82999999999996,Poly Reg - Degree 4,4
113.98,Poly Reg - Degree 4,5
117.91000000000005,Poly Reg - Degree 4,6
115.52999999999997,Poly Reg - Degree 4,7
117.34204727067944,Poly Reg - Degree 4,8
118.37000000000008,Poly Reg - Degree 4,9
78.97333333333334,KNeighbors Reg,0
78.50666666666667,KNeighbors Reg,1
78.50666666666667,KNeighbors Reg,2
78.97333333333334,KNeighbors Reg,3
78.50666666666667,KNeighbors Reg,4
116.75333333333333,KNeighbors Reg,5
116.75333333333333,KNeighbors Reg,6
117.27,KNeighbors Reg,7
116.75333333333333,KNeighbors Reg,8
116.75333333333333,KNeighbors Reg,9
79.8,DecisionTree Reg,0
77.29,DecisionTree Reg,1
78.4,DecisionTree Reg,2
77.29,DecisionTree Reg,3
79.83,DecisionTree Reg,4
113.98,DecisionTree Reg,5
117.91,DecisionTree Reg,6
115.53,DecisionTree Reg,7
117.91,DecisionTree Reg,8
118.37,DecisionTree Reg,9
81.12590000000006,RandomForest Reg,0
79.73369999999998,RandomForest Reg,1
78.77439999999989,RandomForest Reg,2
81.24289999999998,RandomForest Reg,3
79.80349999999993,RandomForest Reg,4
115.05469999999983,RandomForest Reg,5
117.65549999999996,RandomForest Reg,6
116.2054000000001,RandomForest Reg,7
117.17469999999994,RandomForest Reg,8
117.9968000000001,RandomForest Reg,9
96.09538146689682,SupportVector Reg,0
95.98929407826978,SupportVector Reg,1
95.92765869536011,SupportVector Reg,2
96.0133124333684,SupportVector Reg,3
95.95454632107528,SupportVector Reg,4
97.85545369186589,SupportVector Reg,5
97.78010954606,SupportVector Reg,6
97.54421337780113,SupportVector Reg,7
97.83521216304725,SupportVector Reg,8
97.75718536658133,SupportVector Reg,9
79.8004738221544,GradientBoosting Reg,0
77.29054049126562,GradientBoosting Reg,1
78.40051100811286,GradientBoosting Reg,2
77.29054049126562,GradientBoosting Reg,3
79.83047302531244,GradientBoosting Reg,4
113.97956595354044,GradientBoosting Reg,5
117.9094615672428,GradientBoosting Reg,6
115.52952478337215,GradientBoosting Reg,7
117.9094615672428,GradientBoosting Reg,8
118.36944934899932,GradientBoosting Reg,9
79.8,Actual Targets,0
77.49,Actual Targets,1
78.4,Actual Targets,2
77.29,Actual Targets,3
79.83,Actual Targets,4
113.98,Actual Targets,5
117.91,Actual Targets,6
115.53,Actual Targets,7
117.32,Actual Targets,8
118.37,Actual Targets,9
