WA WeightGain Predicted Values,Models,Index
1.9357639508809719,Linear Reg,0
2.182790476015902,Linear Reg,1
3.8094461346760835,Linear Reg,2
4.235823928106276,Linear Reg,3
4.363286016973367,Linear Reg,4
4.5490111995381195,Linear Reg,5
5.034359165845494,Linear Reg,6
5.703613466810153,Linear Reg,7
5.831090781525807,Linear Reg,8
6.982024952373891,Linear Reg,9
6.9303480120469105,Linear Reg,10
2.2309557305837098,Ridge Reg,0
2.5805420537995762,Ridge Reg,1
3.583650621068511,Ridge Reg,2
4.018194590134163,Ridge Reg,3
4.311143939833068,Ridge Reg,4
4.631692175938117,Ridge Reg,5
5.094169970677933,Ridge Reg,6
5.643763119537373,Ridge Reg,7
5.936719681631609,Ridge Reg,8
6.714481765048884,Ridge Reg,9
6.922574005317768,Ridge Reg,10
3.062499733983666,Lasso Reg,0
3.3939816878892923,Lasso Reg,1
3.7254636417949185,Lasso Reg,2
4.056945595700545,Lasso Reg,3
4.38842754960617,Lasso Reg,4
4.719909503511797,Lasso Reg,5
5.051391457417423,Lasso Reg,6
5.3828734113230485,Lasso Reg,7
5.714355365228675,Lasso Reg,8
6.045837319134302,Lasso Reg,9
6.3773192730399275,Lasso Reg,10
2.874443199576329,ElasticNet Reg,0
3.242619111415094,ElasticNet Reg,1
3.6107950232538593,ElasticNet Reg,2
3.978970935092624,ElasticNet Reg,3
4.347146846931389,ElasticNet Reg,4
4.715322758770155,ElasticNet Reg,5
5.083498670608919,ElasticNet Reg,6
5.451674582447684,ElasticNet Reg,7
5.819850494286449,ElasticNet Reg,8
6.188026406125214,ElasticNet Reg,9
6.5562023179639795,ElasticNet Reg,10
1.9357639508809723,Poly Reg - Degree 1,0
2.182790476015903,Poly Reg - Degree 1,1
3.809446134676083,Poly Reg - Degree 1,2
4.235823928106276,Poly Reg - Degree 1,3
4.363286016973367,Poly Reg - Degree 1,4
4.54901119953812,Poly Reg - Degree 1,5
5.034359165845494,Poly Reg - Degree 1,6
5.703613466810153,Poly Reg - Degree 1,7
5.831090781525807,Poly Reg - Degree 1,8
6.982024952373889,Poly Reg - Degree 1,9
6.930348012046911,Poly Reg - Degree 1,10
3.0518172166666666,KNeighbors Reg,0
3.0518172166666666,KNeighbors Reg,1
3.0518172166666666,KNeighbors Reg,2
4.214325462000001,KNeighbors Reg,3
4.214325462000001,KNeighbors Reg,4
4.967403562,KNeighbors Reg,5
5.5819572740000005,KNeighbors Reg,6
5.860024893333333,KNeighbors Reg,7
5.860024893333333,KNeighbors Reg,8
6.012045347,KNeighbors Reg,9
6.012045347,KNeighbors Reg,10
1.773152473,DecisionTree Reg,0
1.773152473,DecisionTree Reg,1
3.379258782,DecisionTree Reg,2
4.003040395,DecisionTree Reg,3
5.260677209,DecisionTree Reg,4
5.260677209,DecisionTree Reg,5
5.638493082,DecisionTree Reg,6
5.846701531,DecisionTree Reg,7
6.094880067,DecisionTree Reg,8
6.094880067,DecisionTree Reg,9
6.094554443,DecisionTree Reg,10
2.4166834984800016,RandomForest Reg,0
2.4166834984800016,RandomForest Reg,1
3.480401895410003,RandomForest Reg,2
4.131045827400006,RandomForest Reg,3
4.873371434050001,RandomForest Reg,4
5.20130091988,RandomForest Reg,5
5.659037241660007,RandomForest Reg,6
5.831056594310005,RandomForest Reg,7
6.003760061560001,RandomForest Reg,8
6.072793912589998,RandomForest Reg,9
6.072719019069996,RandomForest Reg,10
3.4433010062684657,SupportVector Reg,0
3.2913223109688388,SupportVector Reg,1
3.573573250394666,SupportVector Reg,2
4.103081219132213,SupportVector Reg,3
4.661259897310141,SupportVector Reg,4
5.169629157676253,SupportVector Reg,5
5.574316574445962,SupportVector Reg,6
5.848184188389429,SupportVector Reg,7
5.994920927169057,SupportVector Reg,8
6.044215374071968,SupportVector Reg,9
5.994472679581027,SupportVector Reg,10
1.7732318435669625,GradientBoosting Reg,0
1.7732318435669625,GradientBoosting Reg,1
3.3792954921366327,GradientBoosting Reg,2
4.003060536624392,GradientBoosting Reg,3
5.260665060824663,GradientBoosting Reg,4
5.260665060824663,GradientBoosting Reg,5
5.6384740361697725,GradientBoosting Reg,6
5.846674635034595,GradientBoosting Reg,7
6.094828693504984,GradientBoosting Reg,8
6.094678397763272,GradientBoosting Reg,9
6.094527684137998,GradientBoosting Reg,10
0.0,Actual Targets,0
1.773152473,Actual Targets,1
3.379258782,Actual Targets,2
4.003040395,Actual Targets,3
5.260677209,Actual Targets,4
5.420239744,Actual Targets,5
5.638493082,Actual Targets,6
5.846701531,Actual Targets,7
6.094880067,Actual Targets,8
6.084741864,Actual Targets,9
6.094554443,Actual Targets,10
